Português	Tupi Antigo
Ainda sendo criancinha aquele Nosso Senhor Jesus Cristo era conhecedor de quaisquer coisas, como em sua idade adulta?	O pitangĩnamo bépe a'e Îandé Îara Îesu Cristo mba'e tetiruã kuaparamo sekóû o kakuaba îabé?
Recusando uma criança (que iria nascer)	Pitanga kuakupa
Caço	Aka'amondó
Eu sou muito bochechudo, eu tenho bochechas grandes	Xe retobapegûasu
Para onde a multidão numerosíssima levou Nosso Senhor da casa de Caifás após o amanhecer?	Mamõpe erimba'e te'yî-katupabẽ Îandé Îara rerasóû Kaiphás roka suí ko'em'iré?
Tu te alegraste por alguém estragá-las?	Nde rorype abá serekomemûãagûera resé?
Que se compadeçam dele os judeus	T'oîporeaûsuberekó îudeus
Por isso mesmo eles não se deleitam com as boas coisas	Nd'e'i te'e mba'e-katu resé oîekosube'yma
Os que estão em Maratauá acreditam em minhas palavras, entregando suas almas em minhas mãos	Marataûãme tekoara ogûerobîá xe nhe'enga, xe pópe o 'anga me'enga
comendo-o ansiosamente sempre	korikoria'u i gûabo îepi
Hei de me corrigir, enfim	Anhenonhẽpe ko'yté ká
O que trabalha no domingo	Domingo pupé oporabykyba'e
Tirarão suas maldades deles	Oîmbo'ir i angaîpaba i xuíne
Eu tenho os buracos da orelhas tapados	Xe apysakûá-îe'o
Revezamo-nos uns com os outros	Oroîoporu
Eu sou cristão, eu sou virtuoso	Xe cristão, xe karaí
Que tenhais medo disso	Ta pesykyîé ianga suí
Ainda bem que existes, ó meu senhor!	Aûîebeté ereîkó xe îar-y gûé!
Como seus discípulos procederam vendo tratar assim a seu senhor?	Marãpe i boîá rekóû emonã o îara rerekó repîaka?
quebrador de pedras, cavouqueiro	itá kasara
Não querem que vos toquem	Pe atõîa n'oîpotari
Que eu deteste muito o diabo	T'aroŷrõngatu Anhanga
Portanto, prendo-te!	Irõ oropokosub!
Deus deu, então, determinações para nosso pai primeiro?	Osekomonhangype a'ereme Tupã îandé rubypy?
Sentir o toque nas coisas	Mba'e resé mokoka anduba
Sendo tu Deus também	Tupãnamo eîkóbo bé
Por isso, ando com o provincial hoje	Angari abaregûasu kori arogûatá
Santa Maria está pensando na aproximação de seu parto	Santa Maria o membyrá-kakara omo'ã-mo'ang
Vinde, levai os malditos, erguendo-os, para sapecá-los em nosso fogo, tostando-os bem	Peîori, perasó muru, supi, îandé ratápe sapeka, saîmbé-katûabo
A senhora desta aldeia compadece-se grandemente das pessoas	Kó tabyîara ndaeté i poraûsubari
Desviei-me	Apîá
De modo algum	-N'asé ruã-tepe o emi'urama oîmonhang? - Aani - Mas não é a gente que faz sua comida?
abraçando a cintura de teu companheiro, estimulando teu desejo sensual	nde rapixara ku'a îubana, nde poropotá-pokyramamo
Sabendo que Deus te fez sair daquela escuridão, honra a Deus	Aîpó pytunusu suí Tupã nde mosemagûera kuapa, eîmomba'eté Tupã
Deus-Pai	Tupã Tuba
Na superfície das águas os peixes estavam	Y ape'arybo pirá kûáî
Quebra-se muitas vezes	Osó-osok
morrendo eu	gûimanõmo
Vou para fora	Asó kûeîpe
coisa manifesta, pública, coisa notória por ser vista	ikatupendûara
Que tenha reparação teu roubo	Ta sepy nde mondagûera
Ficaste detendo contigo alguma pessoa?	Ererokûé-rokûerype abá amõ?
Eis que ele sempre vai	Osó memẽ n'akó îepi
Ele dentro dela está ocultamente	A'e i pupé sekó-nhemimi
por causa de seu próprio pai	og uba resé
isso mesmo	ebokûeîba'e a'e
Meu irmão, perdoa tu a mim	Xe rybyt, nde nhyrõ xebo
Enfim, de volta!	Irõ bé!
Contas o nome de alguém quando te confessa o padre?	Ereîmombe'upe abá rera abaré nde monhemombegûápe?
De modo algum os temiminós tiram seus nomes antigos	Nainanĩ temiminõ o erumûana mombó
É certo que foi?	Osó ruãpe é?
Nós somos numerosos	Oré re'yî
Eu tenho vermes (na carne podre)	Xe rasok
Semelhante a uma roupa de querejuá que brilha mais que o sol	Aó-kereîûá kûarasy sosé oberaba'e nungara
Este sonho é o modo de se reconhecer que ela é o que eu quero	Kó mosaûsuba xe remimotaramo sekó kuapaba
Nada	-Mba'epe aûîeramanhẽ serekopyrama ikó 'ara pupé? -Aani ã biã - Que é o que será conservado para sempre neste mundo?
Atraiu-se minha alma pela beleza de tua alma	Onhemomotá xe 'anga nde 'anga poranga ri
Lavo-a	Aîpyeî
Iam mulheres, suas discípulas, pranteando-o	Osó kunhã semimbo'e-etá sapirõmo
Cavei-o duramente	Asybykoî-atã
É formosa, certamente, a lua	Î aysó, nipó, îasy
tomou o pão em suas mãos	miapé rari o pópe
Mais que todas as coisas dolorosas que estão neste mundo	Opakatu ikó 'ara pupîara mba'easy sosé
Roga a Deus por nós, os que somos pecadores	Etupãmongetá oré i angaîpaba'e resé
Ah, vencer-me-ão hoje!	Xe reîtyk korine mã!
Longamente nosso pai primeiro esteve chorando	Ipuku erimba'e îandé rubypy rekóû îase'o-monhanga
"""-Entrai na igreja"" disse ele de modo louvável"	"""-Peîké Tupãokype"" e'i muruangaba"
Eis que veio o que me entregará	Aîpó xe me'engarama ruri
Vamos, devagar, para fazer o assalto	T'îasó, mbegûé, îapu'ama
Roí-o	Aîakarãî
Dizendo palavras más acerca de coisas nojentas	Mba'e-poxy koty onhe'engaíbamo
Confessam seus pecadilhos somente Os que são muito grandes deixam-nos, escondendo-os do padre	Oîmombe'u o angaîpá-mirĩ anhõ Tubixabeté oseîá, abaré suí i mima
Como resgate de todos os que irão para o céu	Opakatu ybakype osoba'erama repyramo
Para esse belo procedimento, a gente a mantém em seu próprio quarto (isto é, a água benta), aí dependurando o recipiente em que a bebe	Aîpó tekoporanga resé asé serekóû o kotype, a'epe i moîasekóbo i gûaburu
Devolveu seu pagamento aos príncipes	Oîme'engîeby sepypûera morubixabetá supé
Que não te moleste o diabo	Ta nde moangekoaíb umẽ Anhanga
Sobre quê será nossa conversa?	Ma'e resé îandé nhomongetá?
E suas velhas roupas, que fizeram com elas?	I aogûerape marã serekóû?
ajuntamento de canas-de-flecha	u'ubá-tyba
Vou com Pedro	Orosó Pedro pabẽ
Vejo-o (Com ênfase Lit, Acho-me vendo-o)	A'é sepîaka
querendo que a canoa passe adiante	ygara kûabĩ potá
Como teus filhos estando nós	Nde membyramo orokupa
a descida dele (pex, de um monte)	serogûeîypaba
Gritei com ele	Aîakab
Fecundei-a	Aîmenõ
Faço que não o vejo	N'asepîake'ym-a'ubi
Fico-me espreguiçando	Aîepoká-poká
Contando as maldades escondidas de alguém para quem não as conhece	Abá angaîpá-nhemima i kuapare'yma supé mombegûabo
Eu estou morno	Xe rakubaíb
Tudo faz a aldeia pecar!	Opá taba moangaîpabi!
Esses temiminós malvados nossa lei detestam	Kó temiminó-poxy îandé rekó ogûeroŷrõ
Pelo Deus verdadeiro faço perguntas a ti	Tupãeté resé aporandub endébe
Ontem, é verdade que alguns sumiram	Kûeîsé, rakó, amõ kanhemi
Hei de ir contigo hoje	T'asó nde pyri kori
Sou íntimo deles, isto é, sou o que eles honram	Semimoetéramo aîkó
O que não se confessa a cada ano	Ro'y îabi'õ onhemombe'ue'ymba'e
Estando com seus cocares brilhantes que são mais brancos que a geada	O akanetá-beraba ro'yrypy'aka sosé morotingyba'e reroína
ao longo das pedras	itá ybyri
Querendo tua virtude, detesto minha cultura antiga	Nde rekokatu potá, aroŷrõ xe rekopûera
Não são modos de o honrar a bebedeira, o maltratar seu próximo, atacando-o	Na i moetesaba ruã ka'u, o apixara rerekoaíba, sopenhana
Adivinha, vamos ver, o que bateu em ti!	Eîkuá ra'u nde ri opûaryba'e!
Eu tenho a extremidade pontuda	Xe rapûá-obyr
Aparei-o	Asembe'y-kytĩ
Ele, com a mãe de Deus, foi o que criou a Jesus, Deus	A'e niã Tupã sy irũnamo Tupã Jesus mongakuasaramo sekóû
Ajo mal	Marani aîkó
Querendo imitar os atos de Nosso Senhor	Îandé Îara rekoagûera ra'anga motá
Que suas almas caiam logo, deixando seu criador, apegando-se, pois, a nós	I 'anga t'o'a taûîé, o monhangara reîá, rõ oby'a îandé resé
Muito a propósito comportei-me como filho de Deus, fazendo-me batizar	A'eboé Tupã ra'yramo anhemoingó re'a, gûinhemoîasukuká
a unhada de fulano, a marca das unhas de fulano	ahẽ pûapẽ-mbora
colar de ouro	itaîu-po'yra
Não tendes ouvidos, como de costume	Na pe apysáî, îandu
Eis que esse vem (ouvindo sua voz, somente, não o vendo)	Aîpó turi
Sentou-se em público	Te'yîpe nhẽ i gûapyki
Eu me escafedo ao ir	Xe rembykãî gûixóbo
Agradeci-o	Aîkugûab
em meio de campo repartindo-os	nhũ-myterype i mbo'îabo
arroto fétido	eú-rema
Eu sou furioso	Xe marãmotar
todos os que estão nas ilhas	opá 'ypa'ũmendûara
Muito é o meu cansaço	Turusu xe kane'õ
Qual é a causa de nos amar Santa Maria?	Mba'epe Santa Maria asé raûsupaba?
Escapuli das mãos dele	Aîpomogûab
Não chamando o padre para o doente que está consigo	Mba'easybora o îoesendûara supé abaré renõîe'yma
o que anuncia as coisas, o pregador	mba'e rerosapukaîtara
Destruiu outrora os tamoios, os valentes	Tamũîa, kyre'ymbagûera, omombab erimba'e
Que tipo de caça queres comer?	Marãba'e so'o ereî'useî?
logo que vim	xe rura rupibé
O que é comum é aquela mulher espedaçar nossas cabeças, ficando a derrubar-nos	Sekoaba'e kûé kunhã oré akanga i apiti oré moapará-pará
Para onde meus amigos foram, sem mais?	Marãngotype xe îekotyasaba sóû-'ĩ
Ainda mais Pedro	Pero angabatene
Preocupam-se todos os cristãos em saber isso?	-Onhemosaînan pabẽpe cristãos aîpoba'e kuabaûama resé?
bem em frente do mar	paranã robaîkatu
Eis que sofrem muito os que Deus repeliu, tendo sua vida envergonhada	Sasyeté niã Tupã remipe'apûera, ogûekó-mara'ara reroína
Surpreendi-o, na verdade	Asesapy'a é nakó
Meus companheiros, hei de ver o feriado santo	Xe rapixarĩ pabẽ, 'areté-angaturama t'asepîáne!
Dentro de nosso coração colocando sua lei	Îandé py'a pupé sekó mondepa
O julgamento de Deus de nós	Tupã asé rekokuapaba
Para nos ensinar a orar a Deus	Tupã mongetá resé îandé mbo'ebo nhẽ
Eu sou magro	Xe angaîbor
do lado de fora dele (pex, de um vaso, de algo que tenha lado interior e exterior)	i apé koty
O que vê um homem furtar sem se importar	Abá mondarõ osepîakĩba'e
E, principalmente, eles são adversários de agressores	Memeté a'e morero'arupîara
Batizou-me, verdadeiramente, o padre	Xe reroketé pa'i
Que não tenha medo de anunciar a Jesus Cristo	T'osykyîé umẽ Îesu Cristo mombegûabo
Bateste com o pau na tua esposa!	Ereropûar ybyrá nde remirekó resé!
Os habitantes do céu, mais ainda, estão bem felizes	Ybaka porá-tene sory-porang
quinhão de Deus dízimo	Tupã potaba
Eu tenho inclinação a pedir	Xe îeruresûer
Nem sequer uma pequena coisa, nem um só pequeno ato das pessoas omitir-se-á, então	Mba'emirĩ tiruã, abá rekoagûerĩ oîenosem a'epene
Pela estrela que os guia, como a que mostra o caminho	Îasytatá serekoarama resé pé kuabe'ẽsaramo
estátua	abá ra'angaba
Esconde-te, fica quieto	Enhemim, nde kyrirĩ
Meus parentes trazendo, faço-os dançar comigo	Xe anametá aroporaseî seru
Eu tenho pés tortos	Xe are'a
Mas minha sujeira era muita	Xe ky'a-te turusu
O desejo sensual aumentou teus olhos?	Moropotara nde resá moîo'arype?
Não nos batizam também outras pessoas junto do padre?	N'asé reroki bépe amõ abá abaré pyri?
Dizendo palavras más acerca de coisas nojentas	Mba'epoxy koty onhe'engaíbamo
Ah, eu sou muito miserável após me entregar para o diabo!	Xe poreaûsubetekatu Anhanga supé xe nheme'eng'iré mã!
"No dia de guarda do nascimento dele, acendemos a fogueira chamada ""caminho do salto"""	Ara i 'aragûera pîasaba pupé tatá i apyrasabapé 'îaba îaîmondyk
var de farinha de mandioca	u'i-puku
Todos os homens foram	Opá abá sóû
Estou dependurado	Aîasekó
bom trabalhador	morabuká-katu
Veio para visitar esta minha terra outrora	Our kó xe yby supa rimba'e
Alguns somente, outrora, morreram meninos	Mbobyrîõ ipó erimba'e kunumĩ kanhemi
Do amor a Deus encheu suas almas	Tupã raûsuba resé i 'anga porakari
Fi-lo rispidamente	Aîmonhang-îeaseî
Apressei-me muito	Anhemoaîu-katu
Disse elegantemente	A'é muruangaba
Eu estou fumegante	Xe ratating
Por isso mesmo agora, sendo dia santo, eles estão felizes	Nd'e'i te'e ko'yr, onhemo'aretébo, og orybamo
Sede verdadeira, não a de antes de tocar a água	Useîeté, na 'y atõî' îanondé ruã
Entram grandes espinhos, espetando sua cabeça, furando-a toda	Oîké îugûasu i akanga kutuka, opá i mombuka
Os homens que roubam mulheres	Apŷaba kunhã ri i mondaba'e
Vivendo como se estivessem unidos	T'oîese'ar-y berame'ĩ oîkóbo
Cubro-o	Aîaob
Como a esses, matarei os que costumam pecar	Anga îá, angaîpabora aîuká
um par de pares, quatro	oîoirũîrũ
Cortei-lhe a cabeça	Aîakã-mondok
Irei hoje ao mar	Asó kori paranãmene
Estamos nos ferros ao pescoço um do outro (isto é, estamos presos nos ferros um ao pescoço do outro)	Oîoapyri oroîkó itá resé
Matamos	Îaîuká
Mas não porá a gente a mão na boca para desgrudá-la?	Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
Porei armadilhas para eles	Aîekotyrung seséne
Entregando-me à morte tu me beijas o rosto	Te'õ supé xe me'enga xe robá-pyter îepé
aldrava da porta	okena potãîa
Fazendo as pessoas beberem cauim ou dando-lhes de beber, fazendo-as embriagar-se	Abá mongagûabo koîpó se'yma, i mondabeypó
Meu pai os inimigos comeram	Xe ruba tobaîara îa'u
Que sejam muitos os meus nomes!	Ta setá-katu xe rera!
Assim tratado, certamente fica bem, satisfazendo-se com o que o distingue	Emonã serekopyra, rakó opytá-katu, o apysykamo o moingoeara ri
Ó minha mãe! (Fig, Arte, 9) [Usava-se também por quem respondia	Xe sy îu!
Descalcei-me	Aîepyaobok
Confessa bem a nós que tu és o filho de Deus	Eîmombe'u-katu Tupã ra'yramo nde rekó orébe
Engolir-me-á hoje, como sempre	Xe mokõ kori, îandune
Eu tenho fôlego apressado, eu tenho muito fôlego	Xe pytubapûan
Ocupando-me de ti	Nde ri xe nhemboryryîa
Num pano branco, por nossa causa, a imagem de seu rosto tomou	Aó-tinga pupé asé resé sobá ra'anga rari
O dia de São Sebastião, em que ele morreu, os cristãos comemoram para se santificarem	S Sebastião 'ara, se'õagûera, cristãos oîmoeté oîemotupana
Este era, de fato, o meu intento	Aîpó nakó xe rekopotasaba
É certo isso! (aceitando como opinião própria)	Aûîé a'e!
Viram seus discípulos a vinda dele?	Osepîakype i boîá tura?
Estragaste as coisas de teu próximo?	Ererekomemûãpe nde rapixara mba'e?
Preocupam-se conosco, de costume, os nossos padrinhos?	Onhemosaînãpe amẽ asé rerokara asé resé?
Ah, quem me dera eu tivesse ido!	Asó me'ĩmo mã!
Todo seu sangue deu, morrendo	Opá og ugûy me'engi, omanomõ
Embarco contigo	A'ar nde pupé
Eu fedo	Xe ryapûanusu
Vem para espantar o diabo	Îori anhanga mondyîa
Sangro-o	Asugûymombuk
Arrancando nossos vícios	Oré rekopoxy 'oka
Manuseio-o	Aîabyky
Desejando ardentemente ver tua face	Nde robá repîaka'upa
Que me tratem como a seu próprio deus	O tupãnamo ta xe rerekó
Culpei-o falsamente	Asenõî tenhẽ
Seus antigos companheiros dei aos índios	Irũmbûera aîme'eng abá supé
Comecei-o	Aîypymoín
capim que fica estalando, junco	kapi'ĩ-pururuka
Aos poucos a ave se torna papuda	Mbegûé-mbegûé gûyrá nhemoaî
Guarda-te de abandonar tua obra	Teumẽ nde rekó mote'ebo
Daí virá para julgar todos os que vivem e os que morreram	A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane
da mesma maneira	emonã bé
toco de braço	îybá-asyka
por isso, portanto	emonã resé
Os homens reconheceram-no como Deus verdadeiro?	Abá Tupãetéramo sekokuabi?
Eu tenho catarata	Xe resaoby
Quase que fui	Asó só
Ficam invocando a morte	Osekyî-sekyî te'õ
Eu tenho muito preço	Xe repy-etá
Como a esses, mato os que costumam pecar	Anga îá, angaîpabora aîuká
Em dois dias e no tempo de se fazer o terceiro, voltou a viver	Ara mokõî i momosapysaba pupé o ekobeîebyri
Meu corpo treme (de medo)	Xe reté-piring
ter-nos-iam amaldiçoado	îandé momburu meémo
Não sentindo o peso de suas maldades	O angaîpaba posyîûera andube'yma
Deve certamente ter agido assim	Emonã ipó sekóû re'a
Escondeste algum pecado teu do padre, envergonhando-te dele?	Ereîkuakupe nde angaîpaba amõ abaré suí, senotĩamo nhẽ?
Amortalhei-os	Aîapyear
Deixa que venha primeiro	T'oú turi - Deixa-o que venha T'oú turi ranhẽ
Nós, ao contrário, havemos de ir ao encontro da nossa pátria	Îandé-te, îandé retama t'ixepenhan
seu criador de verdade	o moîangara tekatu
o que Deus dá segundo seus propósitos	Tupã remime'enga o ekopotasaba rupi
Guardando-nos	Îandé rarõmo
Podem casar-se um com o outro?	E'ikatupe o îoesé omendá?
Flechou-o em lugar não mortal (ou não perigoso)	Iî ara'ape inhybõû
Ah, oxalá esconda eu as boas coisas dele	Anhomim temõ i mba'e-katu mã!
Os chefes velhos falam sempre a eles, repreendendo-os, censurando-os	Morubixaba tuîba'e onhe'eng memẽ i xupé, senonhena, i akakapa
Quando o proferiu?	Erimba'epe sa'angi?
Vou ao caminho de meu pai	Asó xe ruba rapépe
Vou a pé	Xe py resé nhẽ asó
Quanto mais um caminhante se aflige por um caminho que não conhece, mais deseja logo ver o dia	Memeté rakó pé o eminguabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki
Passo raramente	Moîepenhombé akûab
Que coisa buscas?	Mba'e resépe ereîkó?
Eu sou fingido (nas palavras)	Xe nhe'engyrygûan
É por isso que o batizais junto ao padre	Aîporama resé é peîmongaraíb abaré pyri
Tu ou eu	Endé konipó ixé
Minhas palavras somente cumprirás	Xe nhe'enga nhõ ereîporaká
Para a aspersão de seu aposento e de seu próprio corpo	O koty og o'o repyîagûama resé
Por que não te escondes?	Marãpe nd'erenhemimi?
Em troca de sua criação, dei-lhe outra	Seîmbaba rekobîáramo amõ aîme'eng i xupé
Parece voar	Obebé-berame'ĩ
ajuntamento de búzios (nome antigo de Cabo Frio, RJ)	gûatapy-tyba
Estas rãs, minhas presas, que as comas	Ikó îu'i, xe rupîara, t'ere'u
Ficando a experimentar poções	Mosanga ra'ã-ra'anga
Que ele me leve para seu lugar de felicidade	Ta xe rerasó og orypápe
Vou à guerra, vou como guerreiro	Asó gûarinĩramo
No mesmo dia em que a comeres, cairá a morte em ti	Ara nde i gûaba pupé bé o'a te'õ nde reséne
Quero muito mesmo todas as aldeias destruir	Aîpotá-katutenhẽ opabĩ taba mondyka
à medida do que havia delas	i îaîbeĩîé
Com cravos espetando suas mãos, pregando-as	Itapygûá pupé i pó kutuka, i moîá
Fiz preparativos para receber o inimigo	Anhemosako'i tobaîara resé
